country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.25640869,98.73861694,85.74652863,96.05522919,88.90766907,,,96.79393768,,100,100,92.76809692,,100,100,100,100,100,100,,,,,,
Africa Eastern and Southern,AFE,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.68141937,82.62509155,84.92228699,81.14800262,80.69690704,80.40733337,,,,,,,
Africa Western and Central,AFW,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.80165863,89.48175812,91.35044479,92.2216568,87.04328918,89.39962769,,,,,,,,,
Angola,AGO,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.65036774,,,,,,,,,,,,,,,,
Albania,ALB,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.41316223,,91.94541931,91.63761139,91.70053864,93.8843689,86.84481812,88.59079742,,
Andorra,AND,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.63365173,,97.61795044,,98.31680298,98.82409668,,99.41766357,98.90917969,98.66561127,99.18147278,99.2702179,99.4593811,99.24268341,,,
Arab World,ARB,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.76706696,73.88050842,,
Argentina,ARG,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.34345245,,,98.53540039,99.06062317,99.18782043,99.15782166,,97.51345062,96.79376221,96.14724731,96.04966736,95.78050232,,95.07553864,94.14614105,93.02700806,89.2270813,89.19338226,89.09375763,97.4406662,98.22975922,97.85092163,,
Armenia,ARM,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.95476913,77.35108185,73.96835327,100,90.70323181,87.58867645,,,90.79579926,95.37117004,
American Samoa,ASM,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.76538849,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.14909363,,,,,,,94.84380341,,,,,,,,,,,,,
Australia,AUS,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.87725067,,,,,92.98924255,,,,,,,,,,,,,,91.62906647,92.33827209,,,,,,,
Austria,AUT,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.46520233,93.63761902,95.103508,96.45974731,95.87841797,97.0668869,95.23950195,95.27510834,95.88922119,96.27258301,96.22892761,95.82597351,95.0827179,95.92864227,96.0202713,95.45085907,95.0187912,94.51020813,93.75376129,93.30567169,92.89285278,93.13623047,,,
Azerbaijan,AZE,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.10027313,98.77787781,97.98236847,98.03318787,97.69516754,98.35965729,96.55867767,94.68010712,96.9865036,97.71743011,97.46343231,97.24793243,98.29945374,95.64170074,96.11437225,97.81658936,98.0477066,98.7050705,98.65656281,85.90901947,89.36862946,,
