country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.71751408,38.53309585,35.57407917,51.02025371,62.88945518,69.73305799,76.40778861,85.50407977,87.86794889,91.40879228,105.7815866,115.524898,110.4051292,108.2956412,101.7301069,95.33759836,88.46066612,92.75866879,93.01040098,89.05506973,80.45305393,,
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00758553,17.81492424,21.42946434,25.10707283,28.91982269,32.71720505,39.96989822,43.26076889,46.57987976,52.36304855,52.61354065,56.30554199,60.18957901,60.05854034,61.48645782,66.90921783,71.33431075,74.23410411,80.28805103,81.319762,
Africa Western and Central,AFW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.18208138,20.82340859,21.8739672,33.65278501,38.18164105,43.62575116,50.11539738,54.41338574,62.80346272,56.71396493,60.35606378,67.46024771,69.77060045,77.36230864,80.29735295,71.95411395,62.63148032,59.98652377,58.75734069,60.39718351,64.23980039,,
Angola,AGO,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00008678,28.92523384,29.05480003,34.8696785,49.77629852,54.21235657,69.76922607,92.84111786,135.6315308,120.0315094,96.66415405,121.9136887,121.7957535,142.8861694,130.7423401,107.6435623,94.1061554,112.851471,83.89920044,69.37934113,50.74262238,,
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1499939,73.78868103,78.99415588,111.4618835,141.9128113,154.8753204,168.4197846,204.8018494,240.4433899,235.3989716,255.4131012,271.9571838,259.5267639,277.5770264,295.4507446,256.1264038,274.4385986,295.9950867,350.8345642,,,,
Andorra,AND,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1286.859741,1336.061157,1486.010498,1772.507935,1989.831665,2214.391602,2138.999268,2489.10791,3046.019531,3024.994629,3796.64502,3956.992676,3029.506348,3056.725342,3113.924561,2729.944092,2796.619873,2910.015381,3188.003174,3061.790527,3336.917725,,
Arab World,ARB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5355622,114.5621389,113.7349722,110.0380473,120.6327204,134.2780471,154.1731823,180.400834,211.9863239,227.7966757,237.55464,272.662633,293.3649647,328.060183,355.1487355,340.523514,348.3078629,354.3620093,368.9811155,277.236393,278.8411553,,
United Arab Emirates,ARE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.0755005,743.0507202,821.3450928,862.9032593,911.3927612,978.9043579,1054.332886,1126.812378,1321.93689,1284.763184,1325.203247,1500.80249,1480.727417,1601.552856,1656.268921,1439.300537,1375.905762,1726.240723,1914.931763,1947.130737,2191.813632,,
Argentina,ARG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.9459229,671.3685303,222.6475067,260.9826355,310.2199402,390.8044739,453.6393433,569.2883911,742.9046631,781.7780151,980.1362915,1202.563965,1361.991577,1415.210083,1280.614868,1525.053101,1149.313354,1525.591064,1122.474976,958.5234985,863.7144165,,
