country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.02131357,59.65338746,58.50591513,52.53879557,51.92721528,46.98979764,45.39020314,44.82390654,44.26951476,41.57207562,41.42616611,41.4398841,41.4004598,42.45422522,43.0252429,43.30375704,43.01045088,40.82697538,39.66512839,39.11743845,35.90876902,,
Afghanistan,AFG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.37560272,86.06919098,84.52758789,78.97008514,76.82497406,78.16998291,75.40338898,72.77924347,78.9966507,73.25517273,74.48620605,72.04785919,73.05592346,78.3822937,75.97433472,75.48404694,76.37773895,76.818367,76.23153687,77.34925296,
Africa Western and Central,AFW,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.00504909,67.51448136,69.69245716,72.03694228,67.13234967,66.39542264,68.73609453,69.01720854,70.01074988,69.68028007,70.26104893,68.2296182,67.19785422,66.03152913,66.67509233,65.8332383,67.58087482,68.9343932,66.58445138,64.24690851,62.17901427,,
Angola,AGO,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.27677536,52.92855453,59.41811371,57.65277481,55.55617523,52.12799835,40.36954498,39.40856934,33.15676498,28.49826241,34.6372757,32.38171387,32.57001877,35.40423965,42.67658997,49.96444702,52.2201004,50.60655975,53.95218658,55.59693909,53.7756424,,
Albania,ALB,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.81430054,49.12829971,50.85567093,47.60131836,47.05226517,48.44256592,48.58080292,51.28897095,56.23144531,57.51593399,59.96133041,60.47774506,58.84560394,57.83508301,59.12073517,57.17153549,57.05692291,57.55771637,56.54749298,,,,
Andorra,AND,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.46866608,34.82090378,33.68230057,35.9360199,37.90621185,35.73167419,40.04294968,40.28629303,34.87271881,32.21999359,25.37331009,26.1210804,30.36166573,29.70176506,28.7328968,27.63306999,27.6444931,27.70767593,29.0370369,28.35248947,26.82819366,,
Arab World,ARB,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00030514,42.79426454,43.63934302,43.0724257,42.96671681,42.53380412,41.14110671,41.58786607,41.84568994,39.29187799,41.15696122,38.8948758,40.38626696,39.75076181,38.42759879,40.82370424,39.53838763,39.49268432,39.97892035,45.79184888,43.11053195,,
United Arab Emirates,ARE,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1695385,22.98960304,38.77114868,38.72491837,42.89268875,43.15893936,42.69578171,41.32629776,36.08961105,26.31716537,29.14583969,27.57902718,27.45520782,28.028265,29.02361679,28.74894524,27.87213135,45.18861008,48.42154312,47.86569595,39.01390528,,
Argentina,ARG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2376709,44.94721985,43.47652054,44.9441185,41.91094589,47.39781952,47.07147217,45.4609375,43.97575378,39.75198746,40.73145676,39.09850693,37.05213928,35.95693207,34.04805756,33.00239944,37.58023834,36.36763763,36.92702103,35.78461456,33.44421768,,
