country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,5.841372535,6.003246016,6.019851655,6.02529169,2.777096397,2.913769102,5.97386612,6.032003512,0.812787357,1.176989176,1.238170729,3.381800612,3.59427962,3.726670817,8.221391141,8.249841307,7.881826371,7.839529217,8.016627272,8.645401036,8.963396745,9.084128067,9.115888034,9.232135511,9.366064033,9.360575699,8.7848278,8.785668453,9.074902376,9.440721481,9.961030664,10.5319722,10.83872445,10.85755469,11.31946039,11.79695523,9.439670327,9.600714637,9.719211528,9.739844317,9.764720387,9.994009477,10.17948327,10.34438453,9.994490964,,
Afghanistan,AFG,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372506917,0.405407763,0.411140707,0.457310636,0.481810611,0.548427286,0.569952968,0.691868919,0.791238188,0.79461167,0.895942831,0.946122301,0.971899814,0.986005138,1.008291952,1.034981473,1.047289763,1.088255586,1.062669601,,
Africa Western and Central,AFW,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,34.25569697,33.50368221,30.52037134,29.46201766,29.65024752,24.53735632,22.43804476,21.81205707,22.54457066,20.98744952,10.3571339,8.722330987,7.409261508,6.445104997,6.15765007,7.290999276,7.54169378,16.1085643,15.6565866,15.15002505,15.33280725,14.8575105,14.60183488,13.73809028,13.06558754,12.73773032,12.77356887,12.80763651,12.72326647,12.44091719,12.48301489,12.69526958,13.58448366,14.12210603,15.03084618,15.64287737,16.3221794,17.07108048,17.98083507,18.94148442,20.08214901,20.99539406,22.00787179,23.29121695,24.60717106,25.01151084,24.97708092,25.65861822,25.23918333,25.89293229,25.65979702,,
Angola,AGO,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.97251535,55.84493061,54.50229566,51.36610199,50.66618691,46.62147451,34.65078915,34.3499046,38.66017112,42.98008159,45.16375014,46.33495585,46.4156264,46.91185166,47.90795244,53.3878978,53.92752329,58.7044201,66.27799671,73.93310532,84.29113339,93.70645298,94.51232848,99.10562764,102.5445929,111.3019012,116.8113453,122.4416521,123.5926036,120.4039145,120.2233086,118.6407946,117.8103091,111.2129318,,
Albania,ALB,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.399299519,3.189247783,2.980590876,3.288355949,3.586466503,4.093095102,3.997238922,3.222753692,3.203250121,3.327691581,3.295906668,3.747335695,4.123056256,4.592166155,5.12973206,5.750665454,6.706001005,7.247817932,7.948629273,8.384437997,8.878083342,9.299614448,9.638438252,9.953503009,10.36269593,12.37701101,10.77318866,11.19305984,13.25935026,11.46568781,15.92392593,,
Andorra,AND,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,1.328730143,1.508808822,1.571968071,1.695471651,1.813096564,2.957799476,3.04121042,3.058944586,2.998834631,3.102428785,3.122154687,3.021217136,3.072452149,3.177203485,3.223850608,3.76434248,3.657009964,5.512354056,5.776964543,5.776368752,5.777904205,5.863659776,5.9171347,6.032889926,6.131650268,6.914178477,6.943557047,6.886690789,7.297952813,7.960596482,8.37226335,8.839269367,9.259800966,9.806185743,9.884858272,10.3828894,10.9651104,10.60793426,10.77965006,11.81939455,12.39548309,12.62800861,11.52145312,12.26005288,11.25684628,10.71571629,,
United Arab Emirates,ARE,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,128.5000568,123.4413836,106.4074885,94.20738385,91.53442014,82.78881017,66.30598468,64.77696543,59.79087463,63.83863034,79.57794085,78.4250571,79.23454136,78.47758073,82.09256565,85.74610858,83.0440325,82.83824978,77.06920028,73.95518025,82.89745088,85.59422153,89.31013222,99.01407324,95.66388333,89.7058915,99.43775499,103.5577364,107.8655179,103.1780345,105.8339581,114.2589254,120.8833784,128.2445526,134.9146135,145.5173335,155.1680451,161.0394504,159.5021511,165.0987497,161.0006956,,
Argentina,ARG,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,9.127140327,9.741837158,9.285549677,10.2157828,10.35171468,9.796323841,9.706297776,10.10976326,10.24955945,9.699961837,10.27782589,10.53664979,10.40277153,9.640478104,9.385735232,10.22427116,11.01579029,11.8982789,12.56993468,12.19026911,12.70506579,13.56796104,13.92047689,13.2889915,13.02893435,12.18737859,10.6315944,11.3331378,12.10746604,12.91883927,13.68804726,14.63747449,14.94730711,13.80519894,14.92970874,15.54588204,15.38631593,15.75640664,15.36050875,15.7800288,15.45175247,15.88726057,15.47142797,15.1618662,13.6542862,,
